	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	plot1_0000196656_3	MBL fold metallo-hydrolase	334	20	0.0	85.99								
true	[BLASTED]	plot6_0000256723_1	MBL fold metallo-hydrolase	287	20	5.52552E-176	82.82								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000181260_1	alpha/beta hydrolase	105	20	8.13681E-63	89.56	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED]	plot30_0000020100_9	hypothetical protein ETSY2_28620	97	20	9.46494E-46	78.07								
true	[BLASTED]	plot36_0000092189_3	cupin domain-containing protein	122	20	7.36802E-65	73.39								
true	[BLASTED]	plot36_0000315027_1	1,4-butanediol diacrylate esterase	96	20	3.32993E-41	79.72								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000113111_3	(2Fe-2S)-binding protein	168	20	5.28302E-108	86.18	5	F:GO:0009055; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	F:electron transfer activity; P:electron transport chain; F:carbon-monoxide dehydrogenase (ferredoxin) activity; F:metal ion binding; F:iron-sulfur cluster binding	EC:1.2.7.4	Anaerobic carbon-monoxide dehydrogenase			
true	[BLASTED]	plot1_0000153561_1	MBL fold metallo-hydrolase	331	20	0.0	86.43								
true	[BLASTED]	plot36_0000048356_1	MBL fold metallo-hydrolase	331	20	0.0	86.84								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000107888_3	group 1 truncated hemoglobin	142	20	1.32866E-75	72.32	2	F:GO:0019825; F:GO:0020037	F:oxygen binding; F:heme binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000052539_5	group 1 truncated hemoglobin	142	20	1.61863E-75	73.63	2	F:GO:0019825; F:GO:0020037	F:oxygen binding; F:heme binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000109264_1	Predicted metal-dependent hydrolase, TIM-barrel fold	111	20	4.63768E-66	94.81	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000047103_1	xanthine dehydrogenase family protein subunit M	264	20	3.14081E-123	77.49	2	F:GO:0016491; F:GO:0050660	F:oxidoreductase activity; F:flavin adenine dinucleotide binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000176761_3	antibiotic biosynthesis monooxygenase	113	20	3.73982E-74	73.97	2	F:GO:0004497; P:GO:0055114	F:monooxygenase activity; P:oxidation-reduction process					
true	[BLASTED]	plot36_0000151488_3	hypothetical protein DME00_28310	112	20	3.69288E-61	84.43								
true	[BLASTED]	plot30_0000077822_4	hypothetical protein DME00_28310	112	20	7.68917E-62	86.05								
true	[BLASTED]	plot6_0000234037_3	cupin domain-containing protein	61	20	1.17087E-16	73.3								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000376390_1	group 1 truncated hemoglobin	142	20	2.37139E-78	71.82	2	F:GO:0019825; F:GO:0020037	F:oxygen binding; F:heme binding					
true	[BLASTED]	plot6_0000055000_3	ABC-type phosphate transport system, substrate-binding protein	358	20	3.36337E-87	59.21								
true	[BLASTED]	plot1_0000026828_11	MBL fold metallo-hydrolase	287	20	0.0	89.68								
true	[BLASTED]	plot36_0000215845_3	DUF1259 domain-containing protein	171	20	4.51774E-100	87.87								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000241987_4	glycerol kinase	195	20	8.48499E-100	85.6	5	F:GO:0004370; F:GO:0005524; P:GO:0006072; P:GO:0016310; P:GO:0019563	F:glycerol kinase activity; F:ATP binding; P:glycerol-3-phosphate metabolic process; P:phosphorylation; P:glycerol catabolic process	EC:2.7.1.30	Glycerol kinase			
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000009595_14	Predicted metal-dependent hydrolase, TIM-barrel fold	116	20	1.8448E-72	95.09	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot30_0000602343_4	RidA family protein	119	20	9.77116E-56	74.93	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000192886_1	superoxide dismutase [Fe]	67	20	3.16077E-27	88.57	4	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	F:superoxide dismutase activity; P:removal of superoxide radicals; F:metal ion binding; P:oxidation-reduction process	EC:1.15.1.1	Superoxide dismutase			
true	[BLASTED]	plot1_0000535806_1	hypothetical protein A3H95_15000	165	20	5.79612E-94	68.39								
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000253714_1	DUF1259 domain-containing protein	253	20	5.76961E-133	84.04	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000128231_1	alkylhydroperoxidase	100	20	4.68377E-54	87.6	4	F:GO:0004601; F:GO:0051920; P:GO:0055114; P:GO:0098869	F:peroxidase activity; F:peroxiredoxin activity; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.15; EC:1.11.1.7	Peroxiredoxin; Peroxidase			
true	[BLASTED]	plot30_0000042870_12	hypothetical protein A3H95_15000	327	20	0.0	72.18								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000600691_1	alcohol dehydrogenase	364	20	0.0	86.86	8	F:GO:0005509; C:GO:0016020; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114	F:calcium ion binding; C:membrane; F:methanol ferricytochrome-c oxidoreductase activity; F:ethanol cytochrome-c oxidoreductase activity; F:2-chloroethanol cytochrome-c oxidoreductase activity; F:ethanol:cytochrome c oxidoreductase activity; F:2-chloroethanol:cytochrome c oxidoreductase activity; P:oxidation-reduction process	EC:1.1.2.7; EC:1.1.2.8	Methanol dehydrogenase (cytochrome c); Alcohol dehydrogenase (cytochrome c)			
true	[BLASTED]	plot30_0000003519_17	MBL fold metallo-hydrolase	333	20	0.0	86.56								
true	[BLASTED]	plot1_0000006925_10	MBL fold metallo-hydrolase	323	20	0.0	85.89								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000177303_8	dienelactone hydrolase family protein	83	20	2.41119E-33	71.54	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000491648_1	fructose bisphosphate aldolase	245	20	1.31012E-150	88.86	2	F:GO:0004332; P:GO:0006096	F:fructose-bisphosphate aldolase activity; P:glycolytic process	EC:4.1.2.13	Fructose-bisphosphate aldolase			
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000026836_5	alkylhydroperoxidase	101	20	7.18563E-66	92.81	4	F:GO:0004601; F:GO:0051920; P:GO:0055114; P:GO:0098869	F:peroxidase activity; F:peroxiredoxin activity; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.15; EC:1.11.1.7	Peroxiredoxin; Peroxidase			
true	[BLASTED, MAPPED]	plot1_0000111847_4	Uncharacterized conserved protein	104	20	7.15447E-44	76.02	3	F:GO:0003674; C:GO:0005575; P:GO:0008150	F:molecular_function; C:cellular_component; P:biological_process					
true	[BLASTED, MAPPED]	plot1_0000027203_3	Uncharacterized conserved protein	104	20	1.03872E-43	75.92	3	F:GO:0003674; C:GO:0005575; P:GO:0008150	F:molecular_function; C:cellular_component; P:biological_process					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000417933_4	alpha/beta hydrolase	162	20	4.0622E-95	84.85	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000343255_2	(2Fe-2S)-binding protein	164	20	6.49018E-103	85.64	6	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	F:electron transfer activity; F:carbon-monoxide dehydrogenase (acceptor) activity; P:electron transport chain; F:carbon-monoxide dehydrogenase (ferredoxin) activity; F:metal ion binding; F:iron-sulfur cluster binding	EC:1.2.99.2; EC:1.2.7.4	Acting on the aldehyde or oxo group of donors; Anaerobic carbon-monoxide dehydrogenase			
true	[BLASTED]	plot1_0000010322_5	MBL fold metallo-hydrolase	331	20	0.0	81.08								
true	[BLASTED]	plot1_0000369796_2	CHRD domain-containing protein	147	20	6.65477E-66	75.75								
true	[BLASTED]	plot30_0000236976_2	periplasmic binding family protein	463	20	2.50893E-55	50.63								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000547242_1	fumarylacetoacetate hydrolase	259	20	3.90559E-160	90.07	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000080019_6	thioredoxin	110	20	5.01546E-52	78.13	5	C:GO:0005623; P:GO:0006662; F:GO:0015035; P:GO:0045454; P:GO:0055114	C:cell; P:glycerol ether metabolic process; F:protein disulfide oxidoreductase activity; P:cell redox homeostasis; P:oxidation-reduction process					
true	[BLASTED]	plot30_0000514659_1	periplasmic binding family protein	463	20	2.69823E-57	50.9								
true	[BLASTED]	plot30_0000055626_5	hypothetical protein DME00_28310	112	20	4.62735E-57	83.38								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000609429_1	autoinducer 2 ABC transporter substrate-binding protein	185	20	9.1316E-76	78.35	2	P:GO:0008643; C:GO:0043190	P:carbohydrate transport; C:ATP-binding cassette (ABC) transporter complex					
true	[BLASTED]	plot6_0000095594_2	amino acid ABC transporter substrate-binding protein	301	20	0.0	84.4								
true	[BLASTED]	plot1_0000007925_14	MBL fold metallo-hydrolase	518	20	0.0	71.34								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000082019_2	fumarylacetoacetate hydrolase	311	20	0.0	88.95	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED]	plot36_0000102355_1	hypothetical protein A3H95_15000	107	20	2.34608E-56	69.02								
true	[NO-BLAST]	plot30_0000420761_2	---NA---	26											
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000190002_1	alcohol dehydrogenase	351	20	0.0	86.14	4	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000015496_1	PQQ-dependent dehydrogenase, methanol/ethanol family	490	20	0.0	90.94	5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; C:outer membrane-bounded periplasmic space; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000010027_6	sugar ABC transporter substrate-binding protein	360	20	0.0	80.85	1	P:GO:0008643	P:carbohydrate transport					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000003747_25	hypothetical protein AUG92_00145	340	20	0.0	83.13	3	F:GO:0004061; C:GO:0016021; P:GO:0019441	F:arylformamidase activity; C:integral component of membrane; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000484451_1	alpha/beta hydrolase	150	20	1.49443E-56	62.53	1	F:GO:0016787	F:hydrolase activity					
true	[NO-BLAST]	plot30_0000578123_2	---NA---	93											
true	[BLASTED]	plot1_0000355125_2	lactonase family protein	352	20	0.0	78.48								
true	[BLASTED]	plot30_0000008745_10	hypothetical protein DMG76_33370	106	20	2.97419E-36	73.0								
true	[BLASTED]	plot30_0000006722_7	MBL fold metallo-hydrolase	329	20	0.0	79.92								
true	[BLASTED]	plot1_0000189149_5	MBL fold metallo-hydrolase	200	20	3.05925E-124	87.07								
true	[BLASTED]	plot36_0000003593_4	MBL fold metallo-hydrolase	333	20	0.0	87.06								
true	[BLASTED]	plot30_0000223362_4	MBL fold metallo-hydrolase	252	20	5.76734E-157	85.45								
true	[BLASTED]	plot6_0000215195_2	sugar ABC transporter substrate-binding protein	163	20	2.01026E-80	74.73								
true	[BLASTED]	plot30_0000009969_4	MBL fold metallo-hydrolase	331	20	0.0	80.83								
true	[BLASTED]	plot36_0000056992_3	MBL fold metallo-hydrolase	331	20	0.0	81.12								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000047103_2	(2Fe-2S)-binding protein	168	20	6.66977E-106	85.9	6	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	F:electron transfer activity; F:carbon-monoxide dehydrogenase (acceptor) activity; P:electron transport chain; F:carbon-monoxide dehydrogenase (ferredoxin) activity; F:metal ion binding; F:iron-sulfur cluster binding	EC:1.2.99.2; EC:1.2.7.4	Acting on the aldehyde or oxo group of donors; Anaerobic carbon-monoxide dehydrogenase			
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000189371_1	sugar ABC transporter substrate-binding protein	154	20	2.4525E-74	84.91	1	P:GO:0008643	P:carbohydrate transport					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000095717_1	(2Fe-2S)-binding protein	60	20	7.02618E-32	92.14	4	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051537	F:electron transfer activity; P:electron transport chain; F:metal ion binding; F:2 iron, 2 sulfur cluster binding					
true	[BLASTED]	plot30_0000000505_51	hypothetical protein DMG96_05350	106	20	4.17683E-36	73.89								
true	[BLASTED]	plot1_0000056527_6	hypothetical protein EHM55_09470, partial	352	20	5.54501E-173	72.49								
true	[BLASTED]	plot1_0000726190_2	cupin domain-containing protein	127	20	4.15373E-71	56.72								
true	[NO-BLAST]	plot6_0000261959_1	---NA---	27											
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000414356_1	fructose bisphosphate aldolase	86	20	1.2749E-37	85.43	2	F:GO:0004332; P:GO:0006096	F:fructose-bisphosphate aldolase activity; P:glycolytic process	EC:4.1.2.13	Fructose-bisphosphate aldolase			
true	[BLASTED, MAPPED]	plot6_0000010400_11	MBL fold metallo-hydrolase	257	20	1.45621E-112	73.53	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot36_0000001120_27	lectin	219	20	4.60268E-85	73.13	1	F:GO:0030246	F:carbohydrate binding					
true	[NO-BLAST]	plot1_0000394686_4	---NA---	40											
true	[BLASTED]	plot30_0000246178_2	ABC transporter	301	20	0.0	84.69								
true	[BLASTED]	plot30_0000338727_1	sugar ABC transporter substrate-binding protein	133	20	1.40653E-54	78.62								
true	[BLASTED, MAPPED]	plot30_0000684197_2	glyoxalase	122	20	8.69047E-51	57.94	3	F:GO:0016829; F:GO:0051213; P:GO:0055114	F:lyase activity; F:dioxygenase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED]	plot6_0000001396_10	lectin	220	20	1.68108E-87	72.82	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED, MAPPED]	plot6_0000014658_3	lectin	220	20	2.10565E-85	71.42	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED]	plot1_0000189635_3	DUF1259 domain-containing protein	294	20	5.34611E-142	80.51								
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000295328_1	DUF1259 domain-containing protein	294	20	7.23444E-142	80.46	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot36_0000162499_3	MBL fold metallo-hydrolase	331	20	0.0	81.51								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000000492_41	DUF1259 domain-containing protein	295	20	8.47852E-141	80.69	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000000422_19	DUF1259 domain-containing protein	295	20	1.35106E-139	80.16	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot1_0000560538_3	STAS/SEC14 domain-containing protein	136	13	9.1397E-26	53.01								
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000069077_1	ABC transporter substrate-binding protein	68	20	2.34094E-37	82.47	2	P:GO:0006865; C:GO:0016020	P:amino acid transport; C:membrane					
true	[BLASTED]	plot1_0000503016_3	cupin domain-containing protein	133	20	3.36344E-74	83.23								
true	[BLASTED]	plot6_0000141419_3	periplasmic binding family protein	453	20	7.25946E-53	50.51								
true	[BLASTED]	plot1_0000656931_1	cupin domain-containing protein	127	20	2.247E-72	56.87								
true	[BLASTED]	plot6_0000208773_2	MBL fold metallo-hydrolase	516	20	0.0	71.46								
true	[BLASTED]	plot1_0000091892_2	hypothetical protein EHM59_16520	327	20	0.0	88.09								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000693918_3	lectin	229	20	7.95104E-168	82.18	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED]	plot36_0000478954_3	cupin domain-containing protein	126	20	1.93314E-72	57.23								
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000117375_2	xanthine dehydrogenase family protein subunit M	264	20	9.22827E-131	78.73	3	F:GO:0016491; P:GO:0055114; F:GO:0071949	F:oxidoreductase activity; P:oxidation-reduction process; F:FAD binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000171198_2	carbon monoxide dehydrogenase	289	20	8.1724E-142	75.56	3	F:GO:0016491; P:GO:0055114; F:GO:0071949	F:oxidoreductase activity; P:oxidation-reduction process; F:FAD binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000020278_9	lectin	227	20	4.76398E-112	81.01	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED]	plot30_0000107970_5	hypothetical protein DMG96_31070	107	20	1.40851E-53	83.27								
true	[BLASTED]	plot30_0000194796_6	hypothetical protein DMG96_31070	107	20	1.94829E-56	84.77								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000437717_1	cytochrome C peroxidase	150	20	1.38382E-57	63.29	5	F:GO:0005488; P:GO:0009987; C:GO:0016020; F:GO:0016491; P:GO:0055114	F:binding; P:cellular process; C:membrane; F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000015590_7	lectin	228	20	2.39025E-125	81.27	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000555272_3	sugar ABC transporter substrate-binding protein	195	20	2.62993E-81	74.04	1	P:GO:0008643	P:carbohydrate transport					
true	[BLASTED]	plot30_0000641641_3	carbohydrate ABC transporter substrate-binding protein	124	20	1.47304E-45	61.27								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000048049_2	alcohol dehydrogenase	574	20	0.0	86.42	4	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000275114_4	methyl-accepting chemotaxis protein	174	20	1.14866E-82	74.52	1	C:GO:0016020	C:membrane					
true	[BLASTED]	plot1_0000250644_4	DinB family protein	174	20	2.73721E-66	61.6								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000092026_4	branched-chain amino acid ABC transporter substrate-binding protein	419	20	0.0	75.98	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot1_0000127406_1	hypothetical protein DMD96_13475	291	20	1.91788E-113	68.2								
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000288227_1	group 1 truncated hemoglobin	72	20	4.48342E-34	80.82	2	F:GO:0019825; F:GO:0020037	F:oxygen binding; F:heme binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000223086_3	Cytochrome P460	211	20	5.64699E-94	79.33	1	C:GO:0016020	C:membrane					
true	[BLASTED]	plot1_0000719573_2	DUF1259 domain-containing protein	290	20	7.82809E-172	85.97								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000562518_2	superoxide dismutase	203	20	1.869E-129	88.04	4	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	F:superoxide dismutase activity; P:removal of superoxide radicals; F:metal ion binding; P:oxidation-reduction process	EC:1.15.1.1	Superoxide dismutase			
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000105987_2	sulfurtransferase	282	20	2.04444E-175	82.09	1	F:GO:0004792	F:thiosulfate sulfurtransferase activity	EC:2.8.1.1	Thiosulfate sulfurtransferase			
true	[BLASTED, MAPPED]	plot1_0000214610_1	lectin	222	20	6.7545E-81	71.98	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000043850_5	VOC family protein	148	20	1.25991E-56	63.97	1	F:GO:0003824	F:catalytic activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000508947_1	lectin	231	20	6.12837E-146	82.86	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000385530_1	PQQ-dependent dehydrogenase, methanol/ethanol family	518	20	0.0	68.84	5	F:GO:0005509; C:GO:0016020; F:GO:0052933; F:GO:0052934; P:GO:0055114	F:calcium ion binding; C:membrane; F:alcohol dehydrogenase (cytochrome c(L)) activity; F:alcohol dehydrogenase (cytochrome c) activity; P:oxidation-reduction process	EC:1.1.2.7; EC:1.1.2.8	Methanol dehydrogenase (cytochrome c); Alcohol dehydrogenase (cytochrome c)			
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000719299_1	Cache 3/Cache 2 fusion domain-containing protein	174	20	7.25001E-83	74.38	1	C:GO:0016020	C:membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000067364_6	hypothetical protein DME02_10280	93	20	1.05508E-55	80.1	4	F:GO:0016209; F:GO:0016491; P:GO:0055114; P:GO:0098869	F:antioxidant activity; F:oxidoreductase activity; P:oxidation-reduction process; P:cellular oxidant detoxification					
true	[BLASTED]	plot30_0000128413_5	lactonase family protein	340	20	0.0	80.47								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000550110_1	fumarylacetoacetate hydrolase	291	20	4.95592E-167	84.83	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot36_0000013980_3	DUF4394 domain-containing protein	332	20	6.19614E-110	49.12	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000100485_1	alpha/beta hydrolase	134	20	5.53518E-71	80.11	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot1_0000295348_3	RidA family protein	119	20	3.29815E-57	74.78	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED]	plot30_0000401505_3	MBL fold metallo-hydrolase	327	20	0.0	84.85								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000042068_9	superoxide dismutase	203	20	9.04379E-113	83.74	4	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	F:superoxide dismutase activity; P:removal of superoxide radicals; F:metal ion binding; P:oxidation-reduction process	EC:1.15.1.1	Superoxide dismutase			
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000058404_4	alcohol dehydrogenase (cytochrome c)	563	20	0.0	75.28	1	F:GO:0052934	F:alcohol dehydrogenase (cytochrome c) activity	EC:1.1.2.8	Alcohol dehydrogenase (cytochrome c)			
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000279107_4	sugar ABC transporter substrate-binding protein	328	20	0.0	87.76	1	P:GO:0008643	P:carbohydrate transport					
true	[BLASTED]	plot30_0000554884_2	ABC transporter substrate-binding protein	393	20	0.0	76.37								
true	[BLASTED]	plot30_0000295131_3	DUF1259 domain-containing protein	296	20	0.0	86.67								
true	[BLASTED]	plot1_0000299513_3	DUF1259 domain-containing protein	296	20	0.0	86.51								
true	[BLASTED]	plot30_0000026892_5	hypothetical protein	101	14	7.448E-30	63.89								
true	[BLASTED]	plot1_0000283499_4	hypothetical protein	113	20	2.49251E-73	71.71								
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000286718_2	alpha/beta hydrolase	228	20	2.50112E-143	85.15	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot1_0000100234_5	MBL fold metallo-hydrolase	295	20	4.26471E-119	70.97	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED]	plot6_0000035320_3	DUF1259 domain-containing protein	295	20	0.0	86.16								
