	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	RLP25229.1	sugar ABC transporter substrate-binding protein	337	20	0.0	89.52								
true	[BLASTED]	RLP25005.1	sulfate transporter	277	20	0.0	90.33								
true	[BLASTED]	RLP23162.1	sugar ABC transporter substrate-binding protein	367	20	0.0	76.3								
true	[BLASTED]	RLP22432.1	D-ribose ABC transporter substrate-binding protein	333	20	0.0	66.12								
true	[BLASTED]	RLP22349.1	amino acid ABC transporter substrate-binding protein	342	20	0.0	94.25								
true	[BLASTED]	RKT26284.1	urea ABC transporter substrate-binding protein	455	20	0.0	99.22								
true	[BLASTED]	RKH15454.1	hypothetical protein	485	20	0.0	78.55								
true	[BLASTED]	RKG64036.1	phage tail protein	174	20	3.44703E-122	85.24								
true	[BLASTED]	RKE74430.1	nitrate ABC transporter substrate-binding protein	465	20	0.0	91.99								
true	[BLASTED]	RKE73608.1	amino acid ABC transporter substrate-binding protein	338	20	0.0	86.65								
true	[BLASTED]	RKE72505.1	ABC transporter permease	402	20	0.0	85.3								
true	[BLASTED]	RKE72462.1	ABC transporter substrate-binding protein	391	20	0.0	83.13								
true	[BLASTED]	RKE72235.1	urea ABC transporter substrate-binding protein	438	20	0.0	91.23								
true	[BLASTED]	RKE70917.1	ABC transporter permease	443	20	0.0	81.05								
true	[BLASTED]	RKE70857.1	tripartite tricarboxylate transporter substrate binding protein	336	20	0.0	91.25								
true	[BLASTED]	RKE70350.1	ABC transporter permease	314	20	0.0	92.25								
true	[BLASTED]	RKE70241.1	ABC transporter substrate-binding protein	393	20	0.0	90.39								
true	[BLASTED]	RKE69748.1	phosphate ABC transporter substrate-binding protein	351	20	0.0	83.07								
true	[BLASTED]	RKE69645.1	Uncharacterized conserved protein	484	20	0.0	89.6								
true	[BLASTED]	RKE65882.1	DUF1254 domain-containing protein	476	20	0.0	93.15								
true	[BLASTED]	RKE51305.1	twin-arginine translocation signal domain-containing protein	419	20	0.0	94.87								
true	[BLASTED]	RKE49024.1	branched-chain amino acid ABC transporter substrate-binding protein	408	20	0.0	91.89								
true	[BLASTED]	RKE46205.1	amino acid ABC transporter substrate-binding protein	338	20	0.0	95.34								
true	[BLASTED]	RKE44202.1	branched-chain amino acid ABC transporter substrate-binding protein	410	20	0.0	94.56								
true	[BLASTED]	RKE43867.1	lectin	229	20	6.99346E-166	94.07								
true	[BLASTED]	RKE42267.1	ABC transporter substrate-binding protein	405	20	0.0	96.11								
true	[BLASTED]	RJR97484.1	amino acid ABC transporter substrate-binding protein	343	20	0.0	99.14								
true	[BLASTED]	RJF91648.1	amino acid ABC transporter substrate-binding protein	303	20	0.0	86.33								
true	[BLASTED]	RIY13278.1	phage tail protein	180	20	1.51313E-126	67.34								
true	[BLASTED]	RIH85691.1	sugar ABC transporter substrate-binding protein	304	20	0.0	87.88								
true	[BLASTED]	RIH81903.1	taurine ABC transporter substrate-binding protein	347	20	0.0	82.05								
true	[BLASTED]	RIA76122.1	phage tail protein	169	20	1.95695E-116	76.28								
true	[BLASTED]	RIA02476.1	branched-chain amino acid ABC transporter substrate-binding protein	409	20	0.0	95.66								
true	[BLASTED]	RIA02208.1	ABC transporter substrate-binding protein	408	20	0.0	96.07								
true	[BLASTED]	RHZ96650.1	extracellular solute-binding protein	335	20	0.0	92.96								
true	[BLASTED]	RHZ95810.1	urea ABC transporter substrate-binding protein	440	20	0.0	96.59								
true	[BLASTED]	RFZ88742.1	phosphonate ABC transporter substrate-binding protein	344	20	0.0	94.14								
true	[BLASTED]	RFU47151.1	ABC transporter substrate-binding protein	374	20	0.0	91.5								
true	[BLASTED]	RFS16593.1	right-handed parallel beta-helix repeat-containing protein	278	20	0.0	57.92								
true	[BLASTED]	RFB80279.1	ABC transporter substrate-binding protein	404	20	0.0	86.03								
true	[BLASTED]	RFB76570.1	SMP-30/gluconolactonase/LRE family protein	302	20	0.0	80.23								
true	[BLASTED]	REE06917.1	YD repeat-containing protein	275	6	0.0	72.74								
true	[BLASTED]	RED58765.1	BMP family ABC transporter substrate-binding protein	335	20	0.0	87.45								
true	[BLASTED]	RED53897.1	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB	435	20	0.0	85.02								
true	[BLASTED]	RDU98849.1	ABC transporter substrate-binding protein	411	20	0.0	90.02								
true	[BLASTED]	RDS85431.1	outer membrane protein B	297	20	0.0	67.71								
true	[BLASTED]	RDK96090.1	sugar ABC transporter substrate-binding protein	421	20	0.0	98.48								
true	[BLASTED]	RDK94087.1	ABC transporter substrate-binding protein	399	20	0.0	82.21								
true	[BLASTED]	RDK90708.1	transporter substrate-binding domain-containing protein	356	20	0.0	95.3								
true	[BLASTED]	RDD82464.1	outer membrane protein B	301	20	0.0	64.59								
true	[BLASTED]	RCW98592.1	amino acid ABC transporter substrate-binding protein	339	20	0.0	93.61								
true	[BLASTED]	RCW81888.1	ribose ABC transporter substrate-binding protein	376	20	0.0	94.14								
true	[BLASTED]	RAZ91308.1	phage tail protein	165	20	5.20345E-117	85.14								
true	[BLASTED]	RAX40434.1	ribose ABC transporter substrate-binding protein	355	20	0.0	91.88								
true	[BLASTED]	RAS39251.1	extracellular solute-binding protein	392	20	0.0	95.44								
true	[BLASTED]	RAR53557.1	NIPSNAP family protein	104	20	1.78023E-70	91.59								
true	[BLASTED]	RAQ96543.1	ABC transporter substrate-binding protein	448	20	0.0	68.75								
true	[BLASTED]	RAK58679.1	signal peptide protein	97	20	6.81873E-63	84.9								
true	[BLASTED]	RAK33095.1	glutamate ABC transporter substrate-binding protein	286	20	0.0	90.18								
true	[BLASTED]	PZS38676.1	sugar ABC transporter substrate-binding protein	398	20	0.0	75.58								
true	[BLASTED]	PZS33494.1	BNR/Asp-box repeat-containing protein	371	20	0.0	91.49								
true	[BLASTED]	PZS30825.1	hypothetical protein DLM59_10830	372	20	0.0	67.89								
true	[BLASTED]	PZS29344.1	DUF1326 domain-containing protein	200	20	5.65231E-146	91.65								
true	[BLASTED]	PZS23976.1	hypothetical protein DLM54_00335	371	20	0.0	90.95								
true	[BLASTED]	PZR99463.1	ABC transporter substrate-binding protein	434	20	0.0	73.83								
true	[BLASTED]	PZR86337.1	GYD domain-containing protein	109	20	2.04301E-70	71.08								
true	[BLASTED]	PZR84850.1	ABC transporter substrate-binding protein	364	20	0.0	82.22								
true	[BLASTED]	PZR84143.1	DinB family protein	226	20	1.06512E-162	84.12								
true	[BLASTED]	PZR82197.1	sugar ABC transporter substrate-binding protein	423	20	0.0	68.11								
true	[BLASTED]	PZR65746.1	AsnC family transcriptional regulator	80	20	1.34549E-47	80.11								
true	[BLASTED]	PZR64193.1	SRPBCC domain-containing protein	168	20	7.59067E-119	75.74								
true	[BLASTED]	PZR63014.1	sugar ABC transporter substrate-binding protein	378	20	0.0	66.04								
true	[BLASTED]	PZG01455.1	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein	473	20	0.0	89.02								
true	[BLASTED]	PZF93578.1	DinB family protein	174	20	8.79453E-120	89.08								
true	[BLASTED]	PZA08056.1	transcriptional regulator	295	20	0.0	78.88								
true	[BLASTED]	PYY12600.1	gluconolactonase	338	20	0.0	92.36								
true	[BLASTED]	PYX87422.1	phage tail protein	165	20	4.24205E-115	77.68								
true	[BLASTED]	PYX87421.1	microcystin dependent protein	175	20	2.07527E-123	75.87								
true	[BLASTED]	PYX72757.1	hypothetical protein DMG78_11345	369	20	0.0	75.95								
true	[BLASTED]	PYX66471.1	sugar ABC transporter substrate-binding protein	270	20	0.0	94.7								
true	[BLASTED]	PYX66336.1	6-bladed beta-propeller	390	20	0.0	89.06								
true	[BLASTED]	PYX61565.1	hypothetical protein DMG74_22415	190	20	2.35807E-133	74.97								
true	[BLASTED]	PYX54865.1	hypothetical protein DMG76_19905	244	20	1.43982E-178	79.38								
true	[BLASTED]	PYX51955.1	TIGR03118 family protein	368	20	0.0	71.25								
true	[BLASTED]	PYX45802.1	hypothetical protein DMG83_08750	231	20	3.05859E-169	76.32								
true	[BLASTED]	PYX43301.1	hypothetical protein DMG83_17820	358	20	0.0	69.92								
true	[BLASTED]	PYX43142.1	DUF1348 domain-containing protein	157	20	1.04869E-110	91.3								
true	[BLASTED]	PYX42355.1	TIGR03118 family protein	374	20	0.0	69.73								
true	[BLASTED]	PYX33121.1	hypothetical protein DMG80_06660	121	20	8.2739E-84	84.75								
true	[BLASTED]	PYX32367.1	hypothetical protein DMG80_08310	502	20	0.0	65.92								
true	[BLASTED]	PYX28881.1	hypothetical protein DMG80_15620	245	20	2.06278E-180	81.13								
true	[BLASTED]	PYX21970.1	hypothetical protein DMG87_08480	90	1	2.07893E-59	100.0								
true	[BLASTED]	PYX20574.1	cupin domain-containing protein	129	20	2.61171E-90	85.48								
true	[BLASTED]	PYX18662.1	hypothetical protein DMG87_13850	232	20	7.32389E-172	77.99								
true	[BLASTED]	PYX14731.1	hypothetical protein DMG86_04220	137	20	1.75997E-97	87.31								
true	[BLASTED]	PYX14638.1	DUF4331 domain-containing protein	496	20	0.0	81.98								
true	[BLASTED]	PYX07153.1	hypothetical protein DMG88_15550	246	20	1.6215E-180	85.5								
true	[BLASTED]	PYX06542.1	choice-of-anchor D domain-containing protein	200	20	3.82215E-144	78.08								
true	[BLASTED]	PYX05281.1	TIGR03118 family protein	366	20	0.0	73.06								
true	[BLASTED]	PYV99728.1	DUF4331 domain-containing protein	496	20	0.0	82.07								
true	[BLASTED]	PYV97353.1	tetratricopeptide repeat protein	519	20	0.0	75.37								
true	[BLASTED]	PYV95859.1	hypothetical protein DMG89_19855	234	20	2.85856E-171	78.58								
true	[BLASTED]	PYV88280.1	hypothetical protein DMG90_15110	244	20	0.0	84.62								
true	[BLASTED]	PYV87004.1	TIGR03118 family protein	360	20	0.0	73.14								
true	[BLASTED]	PYV80239.1	hypothetical protein DMG93_19295	199	20	6.48456E-143	71.01								
true	[BLASTED]	PYV71891.1	hypothetical protein DMG96_27770	943	20	0.0	82.6								
true	[BLASTED]	PYV69989.1	hypothetical protein DMG97_20440	144	20	8.13429E-104	86.91								
true	[BLASTED]	PYV69209.1	cupin domain-containing protein	130	20	7.15653E-90	87.1								
true	[BLASTED]	PYV47424.1	hypothetical protein DMG94_06205	488	20	0.0	80.28								
true	[BLASTED]	PYV43240.1	hypothetical protein DMG09_00890, partial	192	20	3.60757E-140	93.7								
true	[BLASTED]	PYV41073.1	SMP-30/gluconolactonase/LRE family protein	345	20	0.0	75.76								
true	[BLASTED]	PYV29559.1	DUF1259 domain-containing protein	296	20	0.0	77.37								
true	[BLASTED]	PYV26656.1	hypothetical protein DMG27_06185	106	20	4.82696E-72	88.52								
true	[BLASTED]	PYV14821.1	hypothetical protein DMG07_11055, partial	217	12	1.43199E-154	52.47								
true	[BLASTED]	PYV08986.1	BNR/Asp-box repeat protein	397	20	0.0	91.37								
true	[BLASTED]	PYU90400.1	lectin	233	20	1.77166E-168	72.57								
true	[BLASTED]	PYU85262.1	NmrA family transcriptional regulator	258	20	0.0	88.54								
true	[BLASTED]	PYU29788.1	cupin domain-containing protein	134	20	3.88627E-94	91.52								
true	[BLASTED]	PYU27303.1	transcription initiation protein	113	20	5.28182E-79	81.98								
true	[BLASTED]	PYU26783.1	NHL repeat-containing protein	375	20	0.0	78.03								
true	[BLASTED]	PYU25064.1	ferritin-like protein	386	20	0.0	84.54								
true	[BLASTED]	PYU21028.1	hypothetical protein DMG30_18885	416	20	0.0	87.73								
true	[BLASTED]	PYU14770.1	pyrrolo-quinoline quinone	1964	20	0.0	73.44								
true	[BLASTED]	PYU12280.1	glyoxalase	130	20	1.20559E-91	92.95								
true	[BLASTED]	PYU10259.1	pyrrolo-quinoline quinone	1229	20	0.0	70.05								
true	[BLASTED]	PYU02679.1	hypothetical protein DMG33_18355	221	20	2.1934E-162	79.78								
true	[BLASTED]	PYU01134.1	hypothetical protein DMG38_04905	246	20	1.55187E-180	84.34								
true	[BLASTED]	PYT93249.1	phosphatase	577	20	0.0	71.94								
true	[BLASTED]	PYT69133.1	cupin domain-containing protein	129	20	8.56992E-89	90.08								
true	[BLASTED]	PYT49873.1	ferritin-like protein	404	20	0.0	70.45								
true	[BLASTED]	PYT26547.1	YVTN family beta-propeller domain-containing protein	339	20	0.0	75.72								
true	[BLASTED]	PYT07278.1	hypothetical protein DMF60_07455	457	20	0.0	83.92								
true	[BLASTED]	PYS69593.1	Right handed beta helix region	181	20	3.17142E-123	73.82								
true	[BLASTED]	PYS66713.1	DUF4331 domain-containing protein	522	20	0.0	80.1								
true	[BLASTED]	PYS65185.1	microcystin dependent protein	168	20	8.47116E-119	78.1								
true	[BLASTED]	PYS57361.1	hypothetical protein DMF74_26240	251	20	0.0	82.88								
true	[BLASTED]	PYS55806.1	NHL repeat-containing protein	365	20	0.0	77.54								
true	[BLASTED]	PYS54940.1	hypothetical protein DMG13_06250	505	8	0.0	60.49								
true	[BLASTED]	PYS54881.1	DUF1080 domain-containing protein	199	20	4.20253E-146	74.49								
true	[BLASTED]	PYS54827.1	hypothetical protein DMG13_06265	103	8	1.56326E-67	86.49								
true	[BLASTED]	PYS53438.1	gluconolactonase	337	20	0.0	86.1								
true	[BLASTED]	PYS53159.1	hypothetical protein DMG13_13720	387	20	0.0	82.28								
true	[BLASTED]	PYS47639.1	hypothetical protein DMG13_27420	703	20	0.0	80.41								
true	[BLASTED]	PYS42762.1	lectin	235	20	3.68699E-170	83.48								
true	[BLASTED]	PYS42750.1	hypothetical protein DMG14_02985	493	20	0.0	70.22								
true	[BLASTED]	PYS42618.1	hypothetical protein DMF71_08930	192	17	3.31651E-132	57.89								
true	[BLASTED]	PYS40658.1	hypothetical protein DMG14_09850	311	20	0.0	79.8								
true	[BLASTED]	PYS40473.1	hypothetical protein DMG14_10435	264	20	0.0	69.61								
true	[BLASTED]	PYS40361.1	cytochrome C nitrite reductase	585	20	0.0	71.48								
true	[BLASTED]	PYS40138.1	hypothetical protein DMG14_11595	133	20	2.27331E-94	73.04								
true	[BLASTED]	PYS39602.1	hypothetical protein DMG14_13420	160	20	6.77001E-114	88.22								
true	[BLASTED]	PYS38818.1	aldolase	245	20	1.88943E-180	83.43								
true	[BLASTED]	PYS38201.1	nucleoside-diphosphate sugar epimerase	314	20	0.0	79.49								
true	[BLASTED]	PYS38142.1	NHL repeat containing protein	349	20	0.0	87.44								
true	[BLASTED]	PYS37164.1	phage tail protein	168	20	5.73E-117	80.76								
true	[BLASTED]	PYS35116.1	DUF1080 domain-containing protein	129	20	1.05871E-91	81.94								
true	[BLASTED]	PYS35054.1	hypothetical protein DMG14_27900	438	20	0.0	82.04								
true	[BLASTED]	PYS34654.1	carboxypeptidase regulatory-like domain-containing protein	592	20	0.0	82.66								
true	[BLASTED]	PYS34152.1	NHL repeat-containing protein	147	20	9.76668E-104	83.96								
true	[BLASTED]	PYS32847.1	hypothetical protein DMG14_33370	139	20	1.30785E-96	83.61								
true	[BLASTED]	PYS32469.1	6-bladed beta-propeller	368	20	0.0	88.52								
true	[BLASTED]	PYS32073.1	hypothetical protein DMG14_35475	165	20	2.04713E-117	68.54								
true	[BLASTED]	PYS30392.1	hypothetical protein DMG11_05285	273	20	0.0	76.28								
true	[BLASTED]	PYS27525.1	hypothetical protein DMG11_16115	354	20	0.0	62.91								
true	[BLASTED]	PYS27354.1	hypothetical protein DMG11_16680	164	20	3.88048E-116	68.99								
true	[BLASTED]	PYS25964.1	outer membrane protein/peptidoglycan-associated (lipo)protein	543	20	0.0	70.41								
true	[BLASTED]	PYS24245.1	hypothetical protein DMG11_24530	160	20	1.26839E-112	65.94								
true	[BLASTED]	PYS23228.1	signal peptidase	88	20	3.57829E-57	80.41								
true	[BLASTED]	PYS20657.1	phage tail protein	175	20	1.20963E-124	87.64								
true	[BLASTED]	PYS20624.1	phage tail sheath family protein	676	20	0.0	70.85								
true	[BLASTED]	PYS18777.1	gluconolactonase	337	20	0.0	88.2								
true	[BLASTED]	PYS17206.1	heme-binding protein	203	20	8.51398E-144	81.04								
true	[BLASTED]	PYS14927.1	subclass B3 metallo-beta-lactamase	295	20	0.0	78.94								
true	[BLASTED]	PYS13875.1	hypothetical protein DMG20_03850	290	20	0.0	77.03								
true	[BLASTED]	PYS13263.1	hypothetical protein DMG17_19205	491	20	0.0	82.79								
true	[BLASTED]	PYS09291.1	VOC family protein	261	20	0.0	66.47								
true	[BLASTED]	PYS07833.1	NHL repeat-containing protein	363	20	0.0	78.02								
true	[BLASTED]	PYS07099.1	DUF1080 domain-containing protein	200	20	9.26173E-146	74.27								
true	[BLASTED]	PYS01287.1	YVTN family beta-propeller domain-containing protein	353	20	0.0	82.43								
true	[BLASTED]	PYR92927.1	MBL fold metallo-hydrolase	551	20	0.0	85.5								
true	[BLASTED]	PYR82788.1	hypothetical protein DMF87_00305	162	20	2.53276E-111	76.86								
true	[BLASTED]	PYR82159.1	gluconolactonase	405	20	0.0	79.59								
true	[BLASTED]	PYR79049.1	SMP-30/gluconolactonase/LRE family protein	337	20	0.0	82.63								
true	[BLASTED]	PYR77114.1	hypothetical protein DMF87_16775	321	20	0.0	84.29								
true	[BLASTED]	PYR76437.1	Right handed beta helix region	319	20	0.0	65.64								
true	[BLASTED]	PYR75210.1	hypothetical protein DMF86_16095	370	20	0.0	85.62								
true	[BLASTED]	PYR74147.1	signal peptide protein	371	20	0.0	73.84								
true	[BLASTED]	PYR74071.1	hypothetical protein DMF87_23955	696	20	0.0	78.03								
true	[BLASTED]	PYR73504.1	hypothetical protein DMF86_20320	578	20	0.0	61.24								
true	[BLASTED]	PYR72451.1	hypothetical protein DMF87_27980, partial	102	20	1.25128E-69	91.28								
true	[BLASTED]	PYR71224.1	DUF1080 domain-containing protein	188	20	2.03393E-136	72.97								
true	[BLASTED]	PYR70658.1	hypothetical protein DMG20_04845	105	20	4.10667E-72	84.11								
true	[BLASTED]	PYR69786.1	hypothetical protein DMF88_04960	386	20	0.0	76.84								
true	[BLASTED]	PYR65843.1	6-bladed beta-propeller	301	20	0.0	83.1								
true	[BLASTED]	PYR59481.1	lectin	230	20	4.51084E-166	80.45								
true	[BLASTED]	PYR59070.1	phage tail protein	175	20	3.91408E-124	74.85								
true	[BLASTED]	PYR58604.1	right-handed parallel beta-helix repeat-containing protein	309	20	0.0	62.97								
true	[BLASTED]	PYR56371.1	Right handed beta helix region	327	20	0.0	66.51								
true	[BLASTED]	PYR48929.1	glyoxalase	165	20	2.42917E-119	78.38								
true	[BLASTED]	PYR48002.1	acetyl-CoA carboxylase	359	20	0.0	82.42								
true	[BLASTED]	PYR47520.1	ABC transporter substrate-binding protein	223	20	5.73021E-159	79.77								
true	[BLASTED]	PYR46878.1	gluconolactonase	338	20	0.0	90.23								
true	[BLASTED]	PYR43083.1	hypothetical protein DMF93_04055	445	20	0.0	85.18								
true	[BLASTED]	PYR37274.1	hypothetical protein DMF93_18205	299	20	0.0	79.68								
true	[BLASTED]	PYR36442.1	NIPSNAP family protein	121	20	2.30189E-86	79.37								
true	[BLASTED]	PYR33562.1	hypothetical protein DMF90_20345	375	20	0.0	83.16								
true	[BLASTED]	PYR32926.1	hypothetical protein DMF92_00515	379	20	0.0	76.59								
true	[BLASTED]	PYR32770.1	heme-binding protein	148	20	8.99591E-101	71.01								
true	[BLASTED]	PYR31851.1	hypothetical protein DMF92_04045	380	20	0.0	78.05								
true	[BLASTED]	PYR31394.1	NHL repeat-containing protein	372	20	0.0	76.89								
true	[BLASTED]	PYR31302.1	heme-binding protein	167	20	9.11099E-116	72.07								
true	[BLASTED]	PYR31301.1	heme-binding protein	162	20	1.23851E-112	75.27								
true	[BLASTED]	PYR29928.1	hypothetical protein DMF92_10225	191	20	1.04277E-135	79.32								
true	[BLASTED]	PYR29054.1	amidase	657	20	0.0	81.67								
true	[BLASTED]	PYR28889.1	gluconolactonase	391	20	0.0	80.53								
true	[BLASTED]	PYR26861.1	amidase	575	20	0.0	79.44								
true	[BLASTED]	PYR26308.1	rod shape-determining protein RodA	148	20	2.10317E-103	78.1								
true	[BLASTED]	PYR25892.1	carboxypeptidase regulatory-like domain-containing protein	485	20	0.0	82.18								
true	[BLASTED]	PYR23920.1	DUF4331 domain-containing protein	527	20	0.0	87.45								
true	[BLASTED]	PYR23201.1	lectin	225	20	1.11067E-163	79.7								
true	[BLASTED]	PYR22804.1	hypothetical protein DMF94_03415	399	20	0.0	83.47								
true	[BLASTED]	PYR15072.1	RidA family protein	401	20	0.0	79.5								
true	[BLASTED]	PYR07909.1	hypothetical protein DMG04_12005	492	20	0.0	88.89								
true	[BLASTED]	PYR07878.1	hypothetical protein DMF99_21175	281	20	0.0	72.44								
true	[BLASTED]	PYR05509.1	DUF1080 domain-containing protein	292	20	0.0	79.73								
true	[BLASTED]	PYQ93142.1	gluconolactonase	366	20	0.0	87.83								
true	[BLASTED]	PYQ85720.1	hypothetical protein DMG02_27245	443	20	0.0	86.03								
true	[BLASTED]	PYQ78530.1	rod shape-determining protein RodA	153	20	6.81966E-109	81.08								
true	[BLASTED]	PYQ71257.1	SRPBCC family protein	252	20	0.0	87.23								
true	[BLASTED]	PYQ58795.1	Right handed beta helix region	307	20	0.0	67.08								
true	[BLASTED]	PYQ55450.1	endopeptidase	1147	20	0.0	59.05								
true	[BLASTED]	PYQ54591.1	DNA mismatch repair protein MutT	578	20	0.0	84.66								
true	[BLASTED]	PYQ45310.1	gluconolactonase	338	20	0.0	91.09								
true	[BLASTED]	PYQ35734.1	phage tail protein	176	20	3.00001E-125	80.45								
true	[BLASTED]	PYQ35732.1	phage tail protein	165	20	6.63869E-116	79.24								
true	[BLASTED]	PYQ27091.1	DUF4331 domain-containing protein	512	20	0.0	84.5								
true	[BLASTED]	PYQ26533.1	nucleoside-diphosphate sugar epimerase	317	20	0.0	77.04								
true	[BLASTED]	PYQ20994.1	hypothetical protein DMF81_16895	352	20	0.0	75.54								
true	[BLASTED]	PYQ09204.1	Right handed beta helix region	320	20	0.0	65.14								
true	[BLASTED]	PYQ05123.1	DUF1080 domain-containing protein	295	20	0.0	82.86								
true	[BLASTED]	PYQ04144.1	DUF3237 domain-containing protein	149	20	1.00249E-100	82.48								
true	[BLASTED]	PYQ02094.1	endopeptidase	1330	20	0.0	72.14								
true	[BLASTED]	PYQ02008.1	enamine deaminase RidA	129	20	4.54579E-88	72.15								
true	[BLASTED]	PYQ01823.1	ABC transporter substrate-binding protein	532	20	0.0	90.21								
true	[BLASTED]	PYP99602.1	hypothetical protein DMF83_30260, partial	293	20	0.0	82.83								
true	[BLASTED]	PYP99482.1	cupin domain-containing protein	119	20	8.61715E-79	94.42								
true	[BLASTED]	PYP94747.1	RagB/SusD family nutrient uptake outer membrane protein	478	20	0.0	70.56								
true	[BLASTED]	PYP88299.1	Right handed beta helix region	305	20	0.0	65.39								
true	[BLASTED]	PYP84926.1	phage tail protein	500	20	0.0	73.29								
true	[BLASTED]	PYP83895.1	sugar ABC transporter substrate-binding protein	449	20	0.0	86.75								
true	[BLASTED]	PYP82658.1	phage tail protein	167	20	1.0465E-117	84.41								
true	[BLASTED]	PYP82656.1	phage tail protein	175	20	1.26391E-124	84.64								
true	[BLASTED]	PYP82434.1	phage tail protein	168	20	9.89865E-118	76.52								
true	[BLASTED]	PYP82433.1	phage tail protein	175	20	1.83928E-123	76.0								
true	[BLASTED]	PYP77554.1	DUF1080 domain-containing protein	278	20	0.0	81.4								
true	[BLASTED]	PYP75424.1	peptidase M23	342	20	0.0	73.36								
true	[BLASTED]	PYP73810.1	RagB/SusD family nutrient uptake outer membrane protein	478	20	0.0	64.12								
true	[BLASTED]	PYP72790.1	histidine phosphatase family protein	156	20	3.89265E-108	87.76								
true	[BLASTED]	PYP70010.1	hypothetical protein DMD41_15890	227	20	2.33624E-165	85.58								
true	[BLASTED]	PYP61390.1	quinonprotein alcohol dehydrogenase	583	20	0.0	86.78								
true	[BLASTED]	PYP59689.1	ABC transporter substrate-binding protein	319	20	0.0	77.3								
true	[BLASTED]	PYP44282.1	hypothetical protein DMD50_14820	176	20	6.63745E-123	85.03								
true	[BLASTED]	PYP40196.1	hypothetical protein DMD48_04370	208	20	1.16241E-153	85.72								
true	[BLASTED]	PYP38623.1	cytochrome P460	195	20	1.25279E-142	88.45								
true	[BLASTED]	PYN78504.1	ABC transporter substrate-binding protein	400	20	0.0	90.02								
true	[BLASTED]	PYN78404.1	hypothetical protein DMD96_21250	199	20	8.94327E-147	90.3								
true	[BLASTED]	PYN78365.1	hypothetical protein DMD96_21040	407	20	0.0	88.65								
true	[BLASTED]	PYN78272.1	hypothetical protein DMD97_06850	351	20	0.0	87.55								
true	[BLASTED]	PYN78249.1	polar amino acid ABC transporter substrate-binding protein	282	20	0.0	94.0								
true	[BLASTED]	PYN77652.1	hypothetical protein DMD96_23490	327	20	0.0	93.23								
true	[BLASTED]	PYN77384.1	ABC transporter substrate-binding protein	391	20	0.0	92.62								
true	[BLASTED]	PYN77110.1	hypothetical protein DMD97_10140	444	20	0.0	90.57								
true	[BLASTED]	PYN77101.1	sugar ABC transporter substrate-binding protein	437	20	0.0	94.87								
